Time(s),Neutron Population
0.0,1000.0
0.5,980.0
1.0,960.4
1.5,941.192
2.0,922.36816
2.5,903.9207968
3.0,885.842380864
3.5,868.12553324672
4.0,850.7630225817857
4.5,833.7477621301499
5.0,817.0728068875469
5.5,800.731350749796
6.0,784.7167237348001
6.5,769.0223892601041
7.0,753.641941474902
7.5,738.569102645404
8.0,723.7977205924959
8.5,709.321766180646
9.0,695.1353308570331
9.5,681.2326242398924
10.0,667.6079717550946
10.5,654.2558123199927
11.0,641.1706960735929
11.5,628.347282152121
12.0,615.7803365090786
12.5,603.464729778897
13.0,591.395435183319
13.5,579.5675264796527
14.0,567.9761759500597
14.5,556.6166524310585
15.0,545.4843193824373
15.5,534.5746329947885
16.0,523.8831403348928
16.5,513.405477528195
17.0,503.1373679776311
17.5,493.0746206180784
18.0,483.2131282057169
18.5,473.54886564160256
19.0,464.0778883287705
19.5,454.79633056219507
20.0,445.70040395095117
20.5,436.78639587193214
21.0,428.0506679544935
21.5,419.48965459540364
22.0,411.09986150349556
22.5,402.87786427342564
23.0,394.8203069879571
23.5,386.92390084819795
24.0,379.185422831234
24.5,371.60171437460934
